type,difficulty,category,question,correct_answer,id
boolean,easy,General Knowledge,The Great Wall of China is visible from the moon.,FALSE,CSV001
boolean,easy,General Knowledge,Jingle Bells was originally meant for Thanksgiving,TRUE,CSV002
boolean,easy,General Knowledge,Nutella is produced by the German company Ferrero.,FALSE,CSV003
boolean,medium,General Knowledge,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",TRUE,CSV004
boolean,easy,General Knowledge,French is an official language in Canada.,TRUE,CSV005
boolean,hard,General Knowledge,"In Scandinavian languages, the letter &Aring; means river.",TRUE,CSV006
boolean,hard,General Knowledge,This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.,TRUE,CSV007
boolean,easy,General Knowledge,The mitochondria is the powerhouse of the cell.,TRUE,CSV008
boolean,easy,General Knowledge,The Lego Group was founded in 1932.,TRUE,CSV009
boolean,medium,General Knowledge,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,TRUE,CSV010
boolean,medium,General Knowledge,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,FALSE,CSV011
boolean,easy,General Knowledge,Video streaming website YouTube was purchased in it&#039;s entirety by Facebook for US$1.65 billion in stock.,FALSE,CSV012
boolean,medium,General Knowledge,Popcorn was invented in 1871 by Frederick W. Rueckheim in the USA where he sold the snack on the streets of Chicago.,FALSE,CSV013
boolean,hard,General Knowledge,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,TRUE,CSV014
boolean,easy,General Knowledge,"On average, at least 1 person is killed by a drunk driver in the United States every hour.",TRUE,CSV015
boolean,medium,General Knowledge,Kissing someone for one minute burns about 2 calories.,TRUE,CSV016
boolean,medium,General Knowledge,&quot;Santa Claus&quot; is a variety of melon.,TRUE,CSV017
boolean,easy,General Knowledge,You can legally drink alcohol while driving in Mississippi.,TRUE,CSV018
boolean,medium,General Knowledge,The scientific name for the Southern Lights is Aurora Australis?,TRUE,CSV019
boolean,medium,General Knowledge,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,TRUE,CSV020
boolean,medium,General Knowledge,Fast food restaurant chains Carl&#039;s Jr. and Hardee&#039;s are owned by the same company.,TRUE,CSV021
boolean,easy,General Knowledge,&quot;Ananas&quot; is mostly used as the word for Pineapple in other languages.,TRUE,CSV022
boolean,medium,General Knowledge,The vapor produced by e-cigarettes is actually water.,FALSE,CSV023
boolean,easy,General Knowledge,Dihydrogen Monoxide was banned due to health risks after being discovered in 1983 inside swimming pools and drinking water.,FALSE,CSV024
